,brand_name,ticker_name
302,Aprea Therapeutics Incアプリア セラピューティクス,APRE
303,Blue Apron Holdings Aブルーエプロン A,APRN
304,Alpha Pro Tech Ltdアルファ プロ テック,APT
305,Aptose Biosciences Incアプトス バイオサイエンセス,APTO
306,Aptiv PLCアプティブ,APTV
307,Aptevo Therapeutics Incアプテボ セラピューティクス,APVO
308,Asia Pacific Wire & Cable Corporationアジア パシフィック ワイアー,APWC
309,APx Acquisition Corp1APX アクイジション コー1,APXI
310,Apyx Medical Corporationアピックス メディカル,APYX
311,Aquabounty Technologiesアクアバウンティ テクノロジーズ,AQB
312,Aqua Metals Incアクア・メタルズ,AQMS
313,Algonquin Power and Utilities Corpアルゴンキンパワー アンド ユーティリティーズ,AQN
314,Aquestive Therapeutics Incアクエスティブ セラピューティクス,AQST
315,Antero Resources Corporationアンテロ リソーシズ,AR
316,Aravive Incアラバイブ,ARAV
317,Accuray Incorporatedアキュレイ,ARAY
318,Arbe Robotics Ltdアーブ ロボティクス,ARBE
319,Aequi Acquisition Corpエークイ　アクイジション,ARBG
320,ARC Document Solutions Inc ARC ドキュメント ソリューションズ,ARC
321,ArcBest Corpアークベスト,ARCB
322,Arco Platform Limited Aアルコ プラットフォーム A,ARCE
323,Arch Resources Inc Aアーチ リソーシズ A,ARCH
324,Arbor Rapha Capital Bioholdings Corp1アーバー ラファ キャピタル バイオホ1,ARCK
325,Arcos Dorados Holdings Aアルコス ドラドス ホールディングス A,ARCO
326,Arcturus Therapeutics Holdings Incアークトゥルス セラピューティクス ホールディングス,ARCT
327,Ardagh Group SAｱﾙﾀﾞﾌ･ｸﾞﾙｰﾌﾟ,ARD
328,Ardelyx Incアーデリクス,ARDX
329,American Rebel Holdings Incアメリカン レイベル ホールディングス,AREB
330,American Resources Corporationアメリカン　リソーシズ,AREC
331,The Arena Group Holdings Incザ アレナ グループ,AREN
332,Ares Management Corp Aアレス マネジメント A,ARES
333,Argo Group International Holdings Ltdアルゴ グループ インターナショナル ホールディングス,ARGO
334,Arhaus Incアーハウス,ARHS
335,Aris Water Solution Incアリスウォーターソリューション,ARIS
336,Arisz Acquisition Corpアリズ アクイジション,ARIZ
337,Arko Corpアルコ,ARKO
338,Ark Restaurants Corpアーク レストランツ,ARKR
339,American Realty Investors Incアメリカン リアルティ インベスターズ,ARL
340,Arlo Technologiesアーロ テクノロジーズ,ARLO
341,ARM Holdings Plc-ADSアーム　ホールディングス,ARM
342,Aramarkアラマーク,ARMK
343,Armata Pharmaceuticalsアーマタ ファーマシューティカルズ,ARMP
344,Archrock Incアーチロック,AROC
345,Arrow Financial Corpアロー フィナンシャル,AROW
346,Arqit Quantum Incアーキット クアンタム,ARQQ
347,Arcutis Biotherapeutics Incアルクティス バイオセラピューティクス,ARQT
348,Arrowroot Acquisition Corpアロールート アクイジション,ARRW
349,Array Technologies Inc アレイ　テクノロジーズ,ARRY
350,Artemis Strategic Investment Corporati Aアルテミス ストラテジック インベストメ A,ARTE
351,Artelo Biosciences Incアーテロ バイオサイエンシズ,ARTL
352,Artesian Resources Corp Aアルテシアン リソーシズ A,ARTNA
353,Arts-Way Manufacturing Co  Incアーツ　ウェイ　マニュファクチャリング,ARTW
354,Arrival SAアライバルSA,ARVL
355,Arvinas Incアルビナス,ARVN
356,Arrow Electronicsアロー エレクトロニクス,ARW
357,Arrowhead Pharmaceuticals Incアローヘッド ファーマシューティカルズ,ARWR
358,ARYA Sciences Acquisition Corp4 AARYAサイエンシズ アクイジション4 A,ARYD
359,Asana Inc Aアサナ A,ASAN
360,Associated Banc Corpアソシエーテッド バンコープ,ASB
361,Ardmore Shipping Corpアードモア シッピング,ASC
362,A SPAC1 Acquisition Corp AA スパック1 アクイジション A,ASCA
363,ASGN IncorporatedASGN,ASGN
364,Ashland Incアシュランド,ASH
365,Advansixアドバンシックス,ASIX
366,AerSale Corpアエロセール,ASLE
367,Avino Silver & Gold Mines Ltdアヴィーノ シルバー＆ゴールド マインズ,ASM
368,Assembly Biosciences Incアセンブリー バイオサイエンシズ,ASMB
369,Academy Sports and Outdoors Inc アカデミー スポーツ アンド アウトドア,ASO
370,Abri SPAC1 Incアブリ スパック1,ASPA
371,Aspen Aerogels Incアスペン エアロジェル,ASPN
372,Altisource Portfolio Solutionsアルティソース ポートフォリオ ソリューションズ,ASPS
373,Assertio Holdings Incアサーティオ　ホールディングス,ASRT
374,AmeriServ Financial Incアメリサーブ ファイナンシャル,ASRV
375,Astrotech Corporationアストロテックコーポレーション,ASTC
376,Astec Industries Incアステック インダストリーズ,ASTE
377,Algoma Steel Group Incアルゴマ スティール グループ,ASTL
378,Astra Space Inc Aアストラ スペース A,ASTR
379,AST SpaceMobile IncＡＳＴ　スペースモバイル,ASTS
380,Asure Software Incアシュア ソフトウエア,ASUR
381,Asensus Surgical Incアセンサス サージカル,ASXC
382,Amtech Systems Incアムテック システムズ,ASYS
383,ATAI Life Sciences NVアタイ ライフ サイエンシズ,ATAI
384,Aurora Technology Acquisition Corp Aオーロラ テクノロジー アクイジション A,ATAK
385,Alphatec Holdings Incアルファテック ホールディングス,ATEC
386,Athena Technology Acquisition Corp2 Aアセナ テクノロジー アクイジション2 A,ATEK
387,A10 NetworksA10ネットワークス,ATEN
388,Aterian Incアテリアン,ATER
389,Anterixアンテリックス,ATEX
390,Adtalem Global Education Incアドタレム グローバル エデュケーション,ATGE
391,Athene Holding Ltd Aアテネ ホールディング A,ATH
392,Athira Pharma Incアティラ ファーマ,ATHA
393,Athersysアサーシス,ATHX
394,ATI IncATI,ATI
395,ATI Physical Therapy IncATI フィジカル セラピー,ATIP
396,Atkore Incアトコア,ATKR
397,Atlanticus Holdings Corporationアトランティカス ホールディングス,ATLC
398,Ames National Corpエイムズ ナショナル,ATLO
399,180 Life Sciences Corp180ライフ,ATNF
400,ATN International Incエーティーエヌ インターナショナル,ATNI
401,Actinium Pharmaceuticals Incアクチニウム ファーマシューティカルズ,ATNM
402,Atmos Energy Corporationアトモス エナジー,ATO
403,Atomera Incorporatedアトメラ,ATOM
404,Atossa Therapeutics Incアトッサ セラピューティクス,ATOS
405,Aptar Group Incアプターグループ,ATR
406,Atara Biotherapeuticsアタラ バイオセラピューティクス,ATRA
407,Atricure Incアトリキュア,ATRC
408,Atrion Corporationアトリオン コーポレーション,ATRI
409,Astronics Corpアストロニクス,ATRO
410,Air Transport Services Group Incエア トランスポート サービシズ グループ,ATSG
411,Altice USA Inc AアルティスUSA A,ATUS
412,Avenue Therapeutics Incアベニュー セラピューティクス,ATXI
413,Astria Therapeutics Incアストリア セラピューティクス,ATXS
414,AngloGold Ashanti PLCアングロゴールド アシャンテ,AU
415,Atlantic Union Bankshares Corpアトランティック ユニオン バンクシェアーズ,AUB
416,Auburn National Bancorporation Incオーバーン ナショナル バンコーポレーショ,AUBN
417,AudioCodes Ltdオーディオコーズ,AUDC
418,Augmedix IncAugmedix インク,AUGX
419,Ipsidy Incイプシディ インク,AUID
420,Ault Alliance Incオルト アライアンス,AULT
421,Golden Mineralsゴールデン ミネラルズ,AUMN
422,Aurinia Pharmaceuticals Incオーリニア ファーマシューティカルズ,AUPH
423,Aurora Innovation Inc Aオーロラ イノベーション A,AUR
424,Aura Biosciences Incオーラ バイオサイエンシズ インク,AURA
425,Auddia Incオーディア,AUUD
426,Applied UV  IncアプライドUV,AUVI
427,Avista Corporationアビスタ,AVA
428,Aveanna Healthcare Holdings Incアビーナ　ヘルスケア　ホールディングス,AVAH
429,Avanti Acquisition Corp Aアヴァンティ アクイジション A,AVAN
430,Aerovironmentエアロバイロメント,AVAV
431,American Vanguard Corpアメリカン バンガード,AVD
432,AvidXchange Holdings Incアビッドエクスチェンジ・ホールディングス,AVDX
